dataset,model,weights,n_features_model,feature selection,selected_features,common_elements_random_choice,classifier_for_comparison,accuracy,f1,precision,recall,roc_auc
beans,maxvit_t,imagenet,512,random features,288.0,155.0,RandomForestClassifier,0.8125,0.8132814171777096,0.8153232566781606,0.8126614987080103,0.9428831997915447
beans,maxvit_t,imagenet,512,random features,288.0,168.0,RandomForestClassifier,0.8046875,0.8048512938860847,0.8055850123718629,0.805094130675526,0.9401515645017696
beans,maxvit_t,imagenet,512,random features,288.0,166.0,RandomForestClassifier,0.828125,0.8276662204373048,0.8288531395952257,0.8283499446290143,0.9525367511345624
beans,maxvit_t,imagenet,512,random features,288.0,166.0,RandomForestClassifier,0.8046875,0.8052771725974339,0.8075883926947757,0.8049095607235142,0.9458786615421362
beans,maxvit_t,imagenet,512,random features,288.0,163.0,RandomForestClassifier,0.7734375,0.7752881646377937,0.7803727325003921,0.7735326688815061,0.9443141597724362
beans,maxvit_t,imagenet,512,random features,288.0,164.0,RandomForestClassifier,0.8359375,0.8354253249933531,0.8375,0.8361018826135105,0.947108223134215
beans,maxvit_t,imagenet,512,random features,288.0,163.0,RandomForestClassifier,0.8046875,0.805342133759604,0.8063953488372094,0.8049095607235143,0.9439395913404122
beans,maxvit_t,imagenet,512,random features,288.0,160.0,RandomForestClassifier,0.7890625,0.7900031024928369,0.7905687619244057,0.7895902547065338,0.9402861919961784
brain_tumor,resnet18,imagenet,512,all features,,,RandomForestClassifier,0.8020304568527918,0.7757325620985527,0.8525395079830563,0.7974206815511163,0.979577432760108
brain_tumor,resnet18,imagenet,512,brkga features,289.0,,RandomForestClassifier,0.8324873096446701,0.8169084699505451,0.872288999241931,0.8330170387779083,0.982448466445581
brain_tumor,resnet18,imagenet,512,random features,289.0,158.0,RandomForestClassifier,0.8045685279187818,0.7847829122723934,0.8493013211382114,0.7972855464159812,0.983455177273548
brain_tumor,resnet18,imagenet,512,random features,289.0,169.0,RandomForestClassifier,0.8274111675126904,0.8059956346004432,0.8554523334865584,0.8300998824911868,0.9866760928370015
brain_tumor,resnet18,imagenet,512,random features,289.0,170.0,RandomForestClassifier,0.7918781725888325,0.7614762430211209,0.8267361807438143,0.7880728554641598,0.9782720445514117
brain_tumor,resnet18,imagenet,512,random features,289.0,171.0,RandomForestClassifier,0.7918781725888325,0.7684814181718207,0.8027434316757759,0.7828025851938896,0.9787522867394844
brain_tumor,resnet18,imagenet,512,random features,289.0,165.0,RandomForestClassifier,0.7868020304568528,0.7559081933197837,0.8348294281827564,0.777150411280846,0.9754066341888424
brain_tumor,resnet18,imagenet,512,random features,289.0,153.0,RandomForestClassifier,0.7918781725888325,0.7685563866549248,0.8211914779937219,0.7857638072855464,0.9747800963686641
brain_tumor,resnet18,imagenet,512,random features,289.0,155.0,RandomForestClassifier,0.8223350253807107,0.8028202387674438,0.8364961787414005,0.8195035252643948,0.9790882412467596
brain_tumor,resnet18,imagenet,512,random features,289.0,158.0,RandomForestClassifier,0.8020304568527918,0.7765726108510709,0.8446641435445569,0.797746768507638,0.9814885205830006
brain_tumor,resnet18,imagenet,512,random features,289.0,171.0,RandomForestClassifier,0.8096446700507615,0.7868940352418171,0.8411199985589715,0.8078819036427732,0.9819291243759399
brain_tumor,resnet18,imagenet,512,random features,289.0,155.0,RandomForestClassifier,0.8071065989847716,0.7849268786768787,0.8380236588306209,0.802746768507638,0.9789885141014432
brain_tumor,resnet34,imagenet,512,all features,,,RandomForestClassifier,0.799492385786802,0.7754439965574268,0.8501122237809827,0.7952467685076381,0.9762903665384693
brain_tumor,resnet34,imagenet,512,brkga features,280.0,,RandomForestClassifier,0.8020304568527918,0.7736402535295059,0.8263535322294125,0.7970945945945946,0.9716104521311137
brain_tumor,resnet34,imagenet,512,random features,280.0,161.0,RandomForestClassifier,0.8020304568527918,0.775725550715515,0.8530737789564125,0.7974206815511163,0.9776080330471457
brain_tumor,resnet34,imagenet,512,random features,280.0,153.0,RandomForestClassifier,0.799492385786802,0.7725587395696092,0.8225485588972431,0.7949206815511164,0.9807284481996593
brain_tumor,resnet34,imagenet,512,random features,280.0,157.0,RandomForestClassifier,0.7868020304568528,0.7614017706889048,0.8181645625230732,0.7801116333725029,0.9780817389647085
brain_tumor,resnet34,imagenet,512,random features,280.0,150.0,RandomForestClassifier,0.7842639593908629,0.7533660755361178,0.8111560901637238,0.7772855464159812,0.9728581446528834
brain_tumor,resnet34,imagenet,512,random features,280.0,153.0,RandomForestClassifier,0.7817258883248731,0.7485861412692661,0.8102327552573638,0.7774206815511163,0.9722914343479458
brain_tumor,resnet34,imagenet,512,random features,280.0,155.0,RandomForestClassifier,0.7944162436548223,0.7627355286663581,0.8561070530593742,0.7895945945945946,0.9747369021545195
brain_tumor,resnet34,imagenet,512,random features,280.0,155.0,RandomForestClassifier,0.799492385786802,0.7762614831505907,0.8222546478268726,0.7934900117508813,0.9743319127435068
brain_tumor,resnet34,imagenet,512,random features,280.0,155.0,RandomForestClassifier,0.8045685279187818,0.7763214260062999,0.8321794611278869,0.8025558166862515,0.9758393328175186
brain_tumor,resnet34,imagenet,512,random features,280.0,151.0,RandomForestClassifier,0.7893401015228426,0.758467731988465,0.809643207620643,0.7822855464159812,0.974790928742312
brain_tumor,resnet34,imagenet,512,random features,280.0,143.0,RandomForestClassifier,0.7893401015228426,0.7595514928405732,0.8376973375629506,0.7819594594594594,0.9745643977887406
