dataset,model,weights,n_features_model,feature selection,selected_features,common_elements_random_choice,classifier_for_comparison,accuracy,f1,precision,recall,roc_auc
beans,maxvit_t,finetuned,512,random features,319,192,RandomForestClassifier,0.828125,0.829193899782135,0.8320084171148,0.828349944629014,0.946864482226999
beans,maxvit_t,finetuned,512,random features,319,197,RandomForestClassifier,0.8125,0.812686795737753,0.813750862663906,0.81266149870801,0.942226347903503
beans,maxvit_t,finetuned,512,random features,319,211,RandomForestClassifier,0.8203125,0.820527717259743,0.822617099212844,0.820413436692506,0.951848413784118
beans,maxvit_t,finetuned,512,random features,319,201,RandomForestClassifier,0.84375,0.843795093795094,0.84414763195251,0.844038390550018,0.950026056934402
beans,maxvit_t,finetuned,512,random features,319,202,RandomForestClassifier,0.828125,0.827577794614694,0.828152411570005,0.82890365448505,0.94796810196947
brain_tumor,resnet18,finetuned,512,all features,,,RandomForestClassifier,0.802030456852792,0.778526438100906,0.823857560259697,0.797746768507638,0.979778202286966
brain_tumor,resnet18,finetuned,512,brkga features,275,,RandomForestClassifier,0.819796954314721,0.804983801876748,0.860928484648736,0.816451233842538,0.982234913072966
brain_tumor,resnet18,finetuned,512,random features,275,143,RandomForestClassifier,0.794416243654822,0.76745481567441,0.818995307524719,0.787285546415981,0.976698371783575
brain_tumor,resnet18,finetuned,512,random features,275,152,RandomForestClassifier,0.814720812182741,0.793503244900042,0.848583621446673,0.813207990599295,0.978365203143151
brain_tumor,resnet18,finetuned,512,random features,275,152,RandomForestClassifier,0.791878172588833,0.766903172059412,0.82160737355445,0.785437720329025,0.979826692891993
brain_tumor,resnet18,finetuned,512,random features,275,140,RandomForestClassifier,0.817258883248731,0.798043486414514,0.844667154391661,0.812746768507638,0.981434659016931
brain_tumor,resnet18,finetuned,512,random features,275,144,RandomForestClassifier,0.819796954314721,0.801188741640009,0.851372549019608,0.821169212690952,0.975878361345295
brain_tumor,resnet18,finetuned,512,random features,275,155,RandomForestClassifier,0.819796954314721,0.797599668303103,0.840431569903999,0.81557285546416,0.977309060938448
brain_tumor,resnet18,finetuned,512,random features,275,149,RandomForestClassifier,0.819796954314721,0.798811595037831,0.837115823957929,0.818207990599295,0.980338871769689
brain_tumor,resnet18,finetuned,512,random features,275,144,RandomForestClassifier,0.789340101522843,0.75754319380092,0.810940778992949,0.779324324324324,0.983512901609319
brain_tumor,resnet18,finetuned,512,random features,275,140,RandomForestClassifier,0.799492385786802,0.775173059077835,0.848492968156615,0.795246768507638,0.977545535539136
brain_tumor,resnet18,finetuned,512,random features,275,138,RandomForestClassifier,0.814720812182741,0.793672488566139,0.848304542598021,0.812881903642773,0.978848235602989
brain_tumor,resnet34,finetuned,512,all features,,,RandomForestClassifier,0.786802030456853,0.754640051855817,0.811335556151387,0.782420681551116,0.976430875366592
brain_tumor,resnet34,finetuned,512,brkga features,237,,RandomForestClassifier,0.794416243654822,0.764684043653022,0.811956922017269,0.789920681551116,0.970351606011262
brain_tumor,resnet34,finetuned,512,random features,237,107,RandomForestClassifier,0.789340101522843,0.758366735108071,0.825170370887674,0.78316392479436,0.974818555142607
brain_tumor,resnet34,finetuned,512,random features,237,101,RandomForestClassifier,0.804568527918782,0.779962573457797,0.848571735938545,0.797285546415981,0.972132922239095
brain_tumor,resnet34,finetuned,512,random features,237,105,RandomForestClassifier,0.804568527918782,0.779918853506315,0.823740228053578,0.802003525264395,0.973655140245234
brain_tumor,resnet34,finetuned,512,random features,237,107,RandomForestClassifier,0.789340101522843,0.755697263911394,0.842053828671235,0.784920681551116,0.973040462007552
brain_tumor,resnet34,finetuned,512,random features,237,107,RandomForestClassifier,0.814720812182741,0.789484571399465,0.864355188623385,0.815190951821387,0.980463420899414
brain_tumor,resnet34,finetuned,512,random features,237,103,RandomForestClassifier,0.791878172588833,0.762808729113077,0.818234519104084,0.787420681551116,0.974517851702342
brain_tumor,resnet34,finetuned,512,random features,237,107,RandomForestClassifier,0.799492385786802,0.771765597914008,0.850174951737452,0.794920681551116,0.97729748140703
brain_tumor,resnet34,finetuned,512,random features,237,110,RandomForestClassifier,0.794416243654822,0.768845183593385,0.823156649076895,0.787285546415981,0.970103660521457
brain_tumor,resnet34,finetuned,512,random features,237,112,RandomForestClassifier,0.807106598984772,0.774130924541911,0.850326970566097,0.807690951821387,0.980981037196319
brain_tumor,resnet34,finetuned,512,random features,237,106,RandomForestClassifier,0.786802030456853,0.760539960362094,0.823989725461087,0.78066392479436,0.979866597011982
brain_tumor,mobilenet_v3_small,finetuned,576,all features,,,RandomForestClassifier,0.809644670050762,0.785643099620489,0.859171901700423,0.810517038777908,0.970911047109093
brain_tumor,mobilenet_v3_small,finetuned,576,brkga features,279,,RandomForestClassifier,0.817258883248731,0.792306840333156,0.853869786127851,0.818017038777908,0.972606747230493
brain_tumor,mobilenet_v3_small,finetuned,576,random features,279,136,RandomForestClassifier,0.802030456852792,0.776678420741013,0.852202628153893,0.800381903642773,0.970846232281292
brain_tumor,mobilenet_v3_small,finetuned,576,random features,279,148,RandomForestClassifier,0.804568527918782,0.776795491357658,0.855445701405576,0.802555816686252,0.976490147974268
brain_tumor,mobilenet_v3_small,finetuned,576,random features,279,133,RandomForestClassifier,0.814720812182741,0.788471584084009,0.876294886807182,0.815743243243243,0.970459298041144
